Education Statistics - New Brunswick (2021),,,,,,,,
Geography,"Total - Highest certificate, diploma or degree 5","No certificate, diploma or degree",High (secondary) school diploma or equivalency certificate 6,Non-apprenticeship trades certificate or diploma 7,Apprenticeship certificate 8,"College, CEGEP or other non-university certificate or diploma 9",University certificate or diploma below bachelor level,Bachelor’s degree or higher
New Brunswick i16,100,18.9,29.8,4,3.8,22.6,1.9,19
"Bathurst (CA), N.B. i17",100,22.9,27.2,5.2,5,24.9,1.9,12.9
"Campbellton (CA), N.B./Que. i18",100,27.2,25.9,6.4,3.6,22.9,2,12
"Campbellton (New Brunswick part) (CA), N.B. i19",100,26.7,25.8,5.2,3.6,24.1,2,12.5
"Campbellton (Quebec part) (CA), Que. i20",100,32.1,25.9,17.4,3.6,12.1,1.8,6.7
"Edmundston (CA), N.B. i21",100,21.2,28.1,7.9,4.9,18.7,2.9,16.4
"Fredericton (CMA), N.B. i22",100,12.1,28.7,2.9,3.1,19.5,1.7,31.9
"Miramichi (CA), N.B. i23",100,16.5,32.3,4,4.8,26,1.5,14.9
"Moncton (CMA), N.B. i24",100,14.4,28.7,3.4,2.7,25.2,2.1,23.4
"Saint John (CMA), N.B. i25",100,14.2,31.8,3.1,4.2,23.5,1.7,21.4
