"Table 3 – Police-reported Crime Severity Index and crime rate, by province or territory, 2022",,,,,,,
 Location, Total Crime Severity Index, Total Crime Severity Index Change 2021-2022 (%), Total Crime Severity Index Change 2012-2022 (%), Total Crimes, Total Crime Rate, Total Crime Change 2021-2022 (%), Total Crime Change 2012-2022 (%)
Canada,78.1,4,3,2206454,5668,5,1
Newfoundland  and Labrador,82.2,6,21,36110,6865,4,13
Prince Edward Island,59.3,6,-19,8511,4986,10,-25
Nova Scotia,74.7,3,-3,60911,5973,8,-6
New Brunswick,86.2,-2,27,52131,6420,-2,17
Quebec,59.7,6,-16,305082,3508,9,-19
Ontario,58.5,4,-1,627201,4151,7,2
Manitoba,146.5,14,28,150702,10694,14,19
Saskatchewan,152.5,3,10,145484,12176,5,6
Alberta,103.2,2,20,373267,8216,5,13
British Columbia,100.4,4,6,391847,7366,-2,-6
