Highest Level of Education in Saskatchewan,,,,,,,,
Geography,"Total - Highest certificate, diploma or degree 5","No certificate, diploma or degree",High (secondary) school diploma or equivalency certificate 6,Non-apprenticeship trades certificate or diploma 7,Apprenticeship certificate 8,"College, CEGEP or other non-university certificate or diploma 9",University certificate or diploma below bachelor level,Bachelor’s degree or higher
Saskatchewan i111,100,18.1,32.2,3.7,5.9,16.3,3.3,20.5
"Estevan (CA), Sask. i112",100,19.6,37.3,3.6,9,15.6,2.2,12.7
"Moose Jaw (CA), Sask. i113",100,18,34.1,4.3,6.8,18.4,2.9,15.7
"North Battleford (CA), Sask. i114",100,20.5,31.4,4,5.9,18.1,3.4,16.6
"Prince Albert (CA), Sask. i115",100,20.2,34.1,3.8,5.5,17,3.4,15.9
"Regina (CMA), Sask. i116",100,13.5,31.4,3.4,5,14.7,4.2,27.8
"Saskatoon (CMA), Sask. i117",100,13.3,29.9,3.2,5.4,16.5,3,28.8
"Swift Current (CA), Sask. i118",100,17.9,33.7,3.6,5.8,19.3,2.5,17.3
"Weyburn (CA), Sask. i119",100,18.3,35.7,4.2,6,15.8,3.8,16.2
"Yorkton (CA), Sask. i120",100,19.3,36.3,3.6,5.3,16.4,3,16
